id,name,category,description,price,unit,image,in_stock,is_featured
,Bioderma Sensibio H2O Micellar Water 500ml,Bioderma,,0.00,per piece,,True,False
,Bioderma Sebium Gel Moussant 500ml,Bioderma,,0.00,per piece,,True,False
,Bioderma Atoderm Cream 500ml,Bioderma,,0.00,per piece,,True,False
,Bioderma Hydrabio H2O 500ml,Bioderma,,0.00,per piece,,True,False
,Bioderma Photoderm Max SPF50+ 40ml,Bioderma,,0.00,per piece,,True,False
,Bioderma Sebium Foaming Gel 200ml,Bioderma,,0.00,per piece,,True,False
,Bioderma Cicabio Cream 100ml,Bioderma,,0.00,per piece,,True,False
,Bioderma Atoderm Shower Oil 500ml,Bioderma,,0.00,per piece,,True,False
